日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240531,1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20240531,131A,ＣＣＮグループ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240531,132A,アイエヌホールディングス,PRO Market,5050,陸運業,12,運輸・物流,-,-
20240531,1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400
20240531,1333,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400
20240531,136A,三興商事,PRO Market,2050,建設業,3,建設・資材,-,-
20240531,1375,雪国まいたけ,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20240531,1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20240531,1377,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1
20240531,1379,ホクト,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1
20240531,137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240531,1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20240531,1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20240531,1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20240531,1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20240531,1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20240531,138A,光フードサービス,グロース（内国株式）,6100,小売業,14,小売,-,-